Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 69.0.3497.100,,2018-10-10 11:58:30,2018-10-10 11:58:48,18.176s,FAILED
,,,,,,
Test Cases/Mercury_Login_manually,Chrome 69.0.3497.100,,2018-10-10 11:58:30,2018-10-10 11:58:42,11.945s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 11:58:31,2018-10-10 11:58:34,3.044s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 11:58:34,2018-10-10 11:58:35,1.644s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 11:58:35,2018-10-10 11:58:37,1.300s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 11:58:37,2018-10-10 11:58:37,0.202s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 11:58:37,2018-10-10 11:58:37,0.154s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 11:58:37,2018-10-10 11:58:42,5.195s,PASSED
,,,,,,
Test Cases/Flight_Finder,Chrome 69.0.3497.100,,2018-10-10 11:58:42,2018-10-10 11:58:47,5.187s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 11:58:42,2018-10-10 11:58:45,2.957s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 11:58:45,2018-10-10 11:58:47,1.483s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 11:58:47,2018-10-10 11:58:47,0.515s,FAILED
