Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 69.0.3497.100,,2018-10-10 12:58:41,2018-10-10 12:59:14,32.765s,FAILED
,,,,,,
Test Cases/Mercury_Login_manually,Chrome 69.0.3497.100,,2018-10-10 12:58:42,2018-10-10 12:59:07,25.453s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:58:42,2018-10-10 12:58:47,4.869s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:58:47,2018-10-10 12:58:50,2.860s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:58:50,2018-10-10 12:58:52,1.830s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:58:52,2018-10-10 12:58:53,1.054s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:58:53,2018-10-10 12:58:53,0.176s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:58:53,2018-10-10 12:59:07,14.294s,PASSED
,,,,,,
Test Cases/Flight_Finder,Chrome 69.0.3497.100,,2018-10-10 12:59:07,2018-10-10 12:59:13,6.104s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:59:08,2018-10-10 12:59:10,2.908s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:59:10,2018-10-10 12:59:13,2.283s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:59:13,2018-10-10 12:59:13,0.208s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-10 12:59:13,2018-10-10 12:59:13,0.463s,FAILED
