Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 69.0.3497.100,,2018-10-10 12:57:43,2018-10-10 12:58:18,35.496s,FAILED
,,,,,,
Test Cases/Mercury_Login_manually,Chrome 69.0.3497.100,,2018-10-10 12:57:44,2018-10-10 12:58:12,28.127s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:57:44,2018-10-10 12:57:49,5.215s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:57:49,2018-10-10 12:57:55,5.610s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:57:55,2018-10-10 12:58:00,4.723s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:58:00,2018-10-10 12:58:01,1.142s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:58:01,2018-10-10 12:58:01,0.285s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 12:58:01,2018-10-10 12:58:12,10.745s,PASSED
,,,,,,
Test Cases/Flight_Finder,Chrome 69.0.3497.100,,2018-10-10 12:58:12,2018-10-10 12:58:18,6.073s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 12:58:12,2018-10-10 12:58:15,2.755s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 12:58:15,2018-10-10 12:58:18,2.962s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 12:58:18,2018-10-10 12:58:18,0.054s,FAILED
